year,enso_aso,enso_jja,enso_phase,source,base_period,notes
1984,-0.6,-0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1985,-0.7,-0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1986,0.5,0.3,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1987,1.4,1.2,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1988,-1.1,-0.7,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1989,-0.8,-0.9,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1990,0.3,0.4,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1991,0.6,0.4,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1992,0.7,0.6,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1993,0.4,0.5,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1994,0.5,0.4,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1995,-0.8,-0.5,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1996,-0.4,-0.3,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1997,1.8,1.5,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1998,-1.2,-0.9,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
1999,-1.2,-1.0,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2000,-0.6,-0.7,La Nina,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2001,-0.2,-0.1,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2002,0.8,0.6,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2003,0.4,0.3,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2004,0.5,0.4,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2005,0.3,0.2,Neutral,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
2006,0.9,0.5,El Nino,NOAA CPC ONI Index (public domain),1991-2020 climatology,"ASO=Aug-Sep-Oct mean, JJA=Jun-Jul-Aug mean, anomaly in deg C"
