year,hurricane_count,orlando_temp,orlando_rain,enso,amo,atlantic_sst,gulf_sst,wind_shear,bermuda_high,fl_steering,upper_flow,ridge_pos
1952,1,22.6158209,124.4441791,-0.18,0.348,27.394,28.107,11.654,0.418,-1.765,-0.178,4.132
1953,2,22.64,149.25,0.603,0.251,27.322,28.456,11.482,1.738,-0.908,0.642,3.668
1954,0,22.05,114.61,-0.895,-0.012,26.977,28.361,12.256,0.913,-1.659,0.546,4.774
1955,0,22.19,84.67,-1.247,0.243,27.298,28.222,10.555,0.661,-0.879,0.147,4.081
1956,1,22.13,93.46,-0.645,-0.12,26.902,28.213,11.691,0.811,-1.083,1.335,4.042
1957,0,22.72,115.32,1.178,0.106,27.293,28.531,12.26,0.825,0.025,3.526,4.534
1958,0,21.51,134.51,0.355,0.174,27.619,28.75,12.538,0.674,-0.933,1.752,6.063
1959,1,22.43,164.65,-0.255,0.026,27.015,28.368,12.957,0.764,-0.405,2.908,4.116
1960,1,21.82,131.74,0.018,0.271,27.265,28.645,11.9,0.95,-0.441,1.235,4.918
1961,0,22.38,86.99,-0.22,0.015,27.18,28.059,12.207,0.315,-1.331,1.61,4.304
1962,0,22.19,112.96,-0.3,-0.014,27.301,28.596,11.719,1.193,0.248,1.068,4.537
1963,1,21.64,97.26,0.913,-0.092,27.307,28.272,11.248,0.974,-0.163,1.047,4.527
1964,3,22.25,114.82,-0.86,-0.183,27.075,28.113,11.837,0.031,-1.15,0.465,4.799
1965,1,21.87,105.36,1.438,-0.223,26.941,28.035,13.142,0.542,-1.083,3.57,5.181
1966,2,21.46,124.17,0.09,-0.033,27.282,28.13,11.729,1.001,-0.696,2.275,4.625
1967,0,22.38,114.85,-0.14,-0.193,26.961,27.851,12.71,1.386,-0.095,2.997,4.204
1968,2,20.95,136.2,0.585,-0.192,27.001,28.187,12.335,1.342,-0.495,3.753,5.196
1969,2,21.62,110.71,0.625,-0.079,27.515,28.413,11.352,0.714,-0.201,3.27,3.757
1970,0,21.38,95.05,-0.66,-0.196,27.166,27.98,12.801,0.14,-0.746,3.627,3.789
